problem_id,category
assign_to_non_existent_node,Ported
astronomy_shop_ad_service_failure,Ported
astronomy_shop_ad_service_high_cpu,Ported
astronomy_shop_ad_service_image_slow_load,Ported
astronomy_shop_ad_service_manual_gc,Ported
astronomy_shop_cart_service_failure,Ported
astronomy_shop_failed_readiness_probe,Similar Failures
astronomy_shop_payment_service_failure,Ported
astronomy_shop_payment_service_unreachable,Ported
astronomy_shop_product_catalog_service_failure,Ported
auth_miss_mongodb,Ported
capacity_decrease_rpc_retry_storm,New Failures
configmap_drift_hotel_reservation,Similar Failures
duplicate_pvc_mounts_astronomy_shop,Similar Failures
duplicate_pvc_mounts_hotel_reservation,Similar Failures
duplicate_pvc_mounts_social_network,Similar Failures
env_variable_shadowing_astronomy_shop,Similar Failures
faulty_image_correlated,New Failures
gc_capacity_degradation,New Failures
incorrect_image,Ported
incorrect_port_assignment,Similar Failures
ingress_misroute,Similar Failures
k8s_target_port-misconfig,Ported
kafka_queue_problems,Ported
kubelet_crash,New Failures
latent_sector_error,New Failures
liveness_probe_misconfiguration_astronomy_shop,Similar Failures
liveness_probe_misconfiguration_hotel_reservation,Similar Failures
liveness_probe_misconfiguration_social_network,Similar Failures
liveness_probe_too_aggressive_astronomy_shop,Similar Failures
liveness_probe_too_aggressive_hotel_reservation,Similar Failures
liveness_probe_too_aggressive_social_network,Similar Failures
loadgenerator_flood_homepage,Ported
misconfig_app_hotel_res,Ported
missing_configmap_hotel_reservation,Similar Failures
missing_configmap_social_network,Similar Failures
missing_env_variable_astronomy_shop,Ported
missing_service_astronomy_shop,Similar Failures
missing_service_hotel_reservation,Similar Failures
missing_service_social_network,Similar Failures
namespace_memory_limit,Similar Failures
network_policy_block,Ported
operator_invalid_affinity_toleration,New Failures
operator_non_existent_storage,New Failures
operator_overload_replicas,New Failures
operator_security_context_fault,New Failures
operator_wrong_operator_image,New Failures
operator_wrong_update_strategy_fault,New Failures
persistent_volume_affinity_violation,Similar Failures
pod_anti_affinity_deadlock,Ported
pvc_claim_mismatch,Ported
rbac_misconfiguration,Similar Failures
readiness_probe_misconfiguration_astronomy_shop,Ported
readiness_probe_misconfiguration_hotel_reservation,Ported
readiness_probe_misconfiguration_social_network,Ported
resource_request_too_large,Similar Failures
resource_request_too_small,Ported
revoke_auth_mongodb-1,Ported
revoke_auth_mongodb-2,Ported
rolling_update_misconfigured_hotel_reservation,Similar Failures
rolling_update_misconfigured_social_network,Similar Failures
scale_pod_zero_social_net,Ported
service_dns_resolution_failure_astronomy_shop,Similar Failures
service_dns_resolution_failure_social_network,Similar Failures
service_port_conflict_astronomy_shop,Similar Failures
service_port_conflict_hotel_reservation,Similar Failures
service_port_conflict_social_network,Similar Failures
sidecar_port_conflict_astronomy_shop,Similar Failures
sidecar_port_conflict_hotel_reservation,Similar Failures
sidecar_port_conflict_social_network,Similar Failures
silent_data_corruption,New Failures
stale_coredns_config_astronomy_shop,Similar Failures
stale_coredns_config_social_network,Similar Failures
storage_user_unregistered-1,Ported
storage_user_unregistered-2,Ported
taint_no_toleration_social_network,Similar Failures
trainticket_f17_nested_sql_select_clause_error,Similar Failures
trainticket_f22_sql_column_name_mismatch_error,Similar Failures
unschedulable_incorrect_port_assignment,Similar Failures
update_incompatible_correlated,New Failures
valkey_auth_disruption,Ported
valkey_memory_disruption,Ported
workload_imbalance,Similar Failures
wrong_bin_usage,Ported
wrong_dns_policy_astronomy_shop,Ported
wrong_dns_policy_hotel_reservation,Ported
wrong_dns_policy_social_network,Ported
wrong_service_selector_astronomy_shop,Similar Failures
wrong_service_selector_hotel_reservation,Similar Failures
wrong_service_selector_social_network,Similar Failures
